class_id;method_name;method_signature
78_0;split_sentences;split_sentences(self, sentences_string)
17_5;get_upcoming_events;get_upcoming_events(self, num_events)
18_5;_convert_key;_convert_key(self, key)
93_1;cosine_similarities;cosine_similarities(vector_1, vectors_all)
62_2;process;process(self, string_list)
51_1;fleiss_kappa;fleiss_kappa(testData, N, k, n)
72_1;findall;findall(self, pattern, text)
22_3;get_all_major;get_all_major(self)
19_0;generate_primes;generate_primes(self)
94_2;purchase_item;purchase_item(self, item_name)
85_5;auto_check_conflict;auto_check_conflict(self)
20_3;get_messages;get_messages(self, username)
32_0;caesar_decipher;caesar_decipher(self, ciphertext, shift)
53_1;find_longest_word;find_longest_word(self, sentence)
38_2;process_excel_data;process_excel_data(self, N, save_file_name)
97_1;is_valid_input;is_valid_input(self, textnum)
30_4;get_std_deviation;get_std_deviation(self)
22_1;register_class;register_class(self, student_name, class_name)
66_1;is_hex_char;is_hex_char(char)
46_0;interpolate_1d;interpolate_1d(x, y, x_interp)
61_0;add_song;add_song(self, song)
4_1;add_course_score;add_course_score(self, name, course, score)
53_0;add_word;add_word(self, word)
88_0;cos;cos(self, x)
72_7;split_sentences;split_sentences(self, text)
75_1;remove_item;remove_item(self, item, quantity=1)
84_0;read_file_as_json;read_file_as_json(self)
60_2;search_tickets_by_customer;search_tickets_by_customer(self, customer_name)
20_0;add_user;add_user(self, username)
74_3;send;send(self, info)
81_2;correlation;correlation(x, y)
29_1;median;median(self, data)
28_1;insert_into_database;insert_into_database(self, table_name, data)
89_0;_generate_cards;_generate_cards(self)
3_0;count;count(n, m=None)
21_1;remove_course;remove_course(self, course)
51_0;kappa;kappa(testData, k)
98_1;write_xml;write_xml(self, file_name)
77_3;eat_food;eat_food(self)
59_0;add_movie;add_movie(self, name, price, start_time, end_time, n)
57_0;mrr;mrr(data)
41_2;_check_five_in_a_row;_check_five_in_a_row(self, row, col, direction)
7_1;check_balanced_brackets;check_balanced_brackets(self)
76_1;sign_in;sign_in(self, username)
97_0;text2int;text2int(self, textnum)
2_0;parse_arguments;parse_arguments(self, command_string)
8_1;withdraw;withdraw(self, amount)
26_2;process_csv_data;process_csv_data(self, N, save_file_name)
74_4;show;show(self, type)
47_0;is_valid;is_valid(self)
31_0;correlation_coefficient;correlation_coefficient(data1, data2)
55_0;palindromic_length;palindromic_length(self, center, diff, string)
84_1;read_file;read_file(self)
5_0;interpret;interpret(self, display=False)
42_0;book_room;book_room(self, room_type, room_number, name)
25_2;_save_cookies;_save_cookies(self)
68_1;get_page_info;get_page_info(self, page_number)
63_1;calculate_word_frequency;calculate_word_frequency(self, words_list)
43_3;get_employee;get_employee(self, employee_id)
31_2;kurtosis;kurtosis(data)
77_2;reset;reset(self)
12_1;calculate_hand_value;calculate_hand_value(self, hand)
95_4;change_order_status;change_order_status(self, order_id, status)
50_1;write_json;write_json(self, data, file_path)
10_3;convert_to_utf8;convert_to_utf8(self)
82_6;get_stock_value;get_stock_value(self, stock)
85_6;simulate_operation;simulate_operation(self)
39_2;is_operator;is_operator(c)
11_0;add;add(states, stat)
89_3;evaluate_expression;evaluate_expression(self, expression)
87_4;datetime_to_string;datetime_to_string(self, datetime)
52_0;lemmatize_sentence;lemmatize_sentence(self, sentence)
6_1;get;get(self, index)
34_2;add_heading;add_heading(self, heading, level=1)
28_0;create_table;create_table(self, table_name, key1, key2)
71_2;move;move(self, direction)
92_0;insert_user;insert_user(self, username, password)
40_1;condition_judge;condition_judge(self)
30_2;get_max;get_max(self)
35_0;find_blank;find_blank(self, state)
1_4;calculate_annulus_area;calculate_annulus_area(self, inner_radius, outer_radius)
91_2;fix_path;fix_path(path)
81_1;mode;mode(data)
78_2;process_text_file;process_text_file(self, sentences_string)
86_0;make_move;make_move(self, row, col)
54_3;remove_icons;remove_icons(self, pos1, pos2)
67_0;add_dish;add_dish(self, dish)
82_3;sell_stock;sell_stock(self, stock)
86_2;is_board_full;is_board_full(self)
65_2;trans_two;trans_two(self, s)
58_3;sweep;sweep(self, x, y)
66_0;replace;replace(self, string)
49_3;withdraw_resume;withdraw_resume(self, resume)
25_0;get_cookies;get_cookies(self, reponse)
48_2;get_hostname;get_hostname(ip_address)
33_2;FidelityPromo;FidelityPromo(order)
56_1;precision;precision(self, predicted_labels, true_labels)
80_3;update;update(table, data, where=None)
88_1;factorial;factorial(self, a)
18_1;__setitem__;__setitem__(self, key, value)
75_0;add_item;add_item(self, item, price, quantity=1)
16_2;apply_operator;apply_operator(self, operand_stack, operator_stack)
43_1;remove_employee;remove_employee(self, employee_id)
2_1;get_argument;get_argument(self, key)
80_2;delete;delete(table, where=None)
15_2;bad_character_heuristic;bad_character_heuristic(self)
64_5;hex_to_decimal;hex_to_decimal(hex_num)
13_0;add_book;add_book(self, title, quantity=1)
7_0;clear_expr;clear_expr(self)
95_0;add_product;add_product(self, product_id, name, quantity)
36_4;clear_inbox;clear_inbox(self, size)
99_3;create_zip_file;create_zip_file(self, files, output_file_name)
39_5;transform;transform(expression)
45_3;rotate_image;rotate_image(self, degrees)
4_2;get_gpa;get_gpa(self, name)
62_1;remove_stop_words;remove_stop_words(self, string_list, stop_word_list)
63_0;process_data;process_data(self, string_list)
10_0;clean_non_binary_chars;clean_non_binary_chars(self)
69_0;merge_pdfs;merge_pdfs(self, output_filepath)
67_2;checkout;checkout(self)
70_1;_validate_sex;_validate_sex(self, sex: str) -> str
26_0;read_csv;read_csv(self, file_name)
34_0;read_text;read_text(self)
21_0;add_course;add_course(self, course)
45_0;load_image;load_image(self, image_path)
35_2;get_possible_moves;get_possible_moves(self, state)
61_1;remove_song;remove_song(self, song)
42_1;check_in;check_in(self, room_type, room_number, name)
37_1;vigenere_cipher;vigenere_cipher(self, plaintext)
1_1;calculate_sphere_area;calculate_sphere_area(self)
83_3;delete_student_by_name;delete_student_by_name(self, name)
47_1;get_octets;get_octets(self)
32_2;rail_fence_decipher;rail_fence_decipher(self, encrypted_text, rails)
65_3;trans_three;trans_three(self, s)
70_2;_validate_phoneNumber;_validate_phoneNumber(self, phoneNumber: str) -> str
8_2;view_balance;view_balance(self)
64_0;decimal_to_binary;decimal_to_binary(decimal_num)
96_2;celsius_to_fahrenheit;celsius_to_fahrenheit(self)
37_2;rail_fence_cipher;rail_fence_cipher(self,plain_text, rails)
79_4;select_female_under_age;select_female_under_age(self, age)
46_1;interpolate_2d;interpolate_2d(x, y, z, x_interp, y_interp)
44_2;extract_code_from_html_text;extract_code_from_html_text(self, html_text)
79_5;select_by_age_range;select_by_age_range(self, min_age, max_age)
27_3;update_currency_rate;update_currency_rate(self, currency, new_rate)
6_0;setNum;setNum(self)
27_2;add_currency_rate;add_currency_rate(self, currency, rate)
90_1;get_host;get_host(self)
33_0;total;total(self)
76_2;check_sign_in;check_sign_in(self, username)
91_1;parse;parse(self, path, charset)
16_1;precedence;precedence(self, operator)
69_1;extract_text_from_pdfs;extract_text_from_pdfs(self)
13_1;remove_book;remove_book(self, title, quantity)
55_1;palindromic_string;palindromic_string(self)
23_1;count_all;count_all(n: int) -> int
14_0;create_table;create_table(self)
44_1;format_line_html_text;format_line_html_text(self, html_text)
60_1;insert_ticket;insert_ticket(self, movie_name, theater_name, seat_number, customer_name)
73_4;is_alive;is_alive(self)
11_1;has;has(states, stat)
92_1;search_user_by_username;search_user_by_username(self, username)
24_1;subtract;subtract(c1, c2)
71_0;init_game;init_game(self)
29_0;mean;mean(self, data)
48_0;is_valid_ipv4;is_valid_ipv4(ip_address)
93_2;n_similarity;n_similarity(vector_list_1, vector_list_2)
83_0;create_student_table;create_student_table(self)
98_2;process_xml_data;process_xml_data(self, file_name)
94_1;insert_coin;insert_coin(self, amount)
23_3;select_all;select_all(self) -> List[List[str]]
9_0;add;add(num1, num2)
68_0;get_page;get_page(self, page_number)
36_2;is_full_with_one_more_email;is_full_with_one_more_email(self, size)
49_0;post_job;post_job(self, job_title, company, requirements)
87_1;get_current_date;get_current_date(self)
15_0;match_in_pattern;match_in_pattern(self, char)
99_2;extract_file;extract_file(self, file_name, output_path)
17_2;get_events;get_events(self, date)
96_0;query;query(self, weather_list, tmp_units = 'celsius')
5_1;display;display(self, key, value)
52_1;get_pos_tag;get_pos_tag(self, sentence)
56_3;f1_score;f1_score(self, predicted_labels, true_labels)
90_0;get_scheme;get_scheme(self)
40_2;calculate_calorie_intake;calculate_calorie_intake(self)
24_2;multiply;multiply(c1, c2)
59_1;book_ticket;book_ticket(self, name, seats_to_book)
58_2;check_won;check_won(self,map)
19_1;get_primes;get_primes(self)
73_3;level_up;level_up(self)
54_2;has_path;has_path(self, pos1, pos2)
50_2;process_json;process_json(self, file_path, remove_key)
9_1;subtract;subtract(num1, num2)
38_1;write_excel;write_excel(self, data, file_name)
14_2;remove_book;remove_book(self, book_id)
41_1;check_winner;check_winner(self)
57_1;map;map(data)
3_1;count_all;count_all(n)
12_2;check_winner;check_winner(self, player_hand, dealer_hand)
0_1;is_start_with;is_start_with(self, request_uri)
0_2;get_jwt_user;get_jwt_user(self, request)
